run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,30.020431248449015,24.97513070943255
2,1.0,30.756348446628778,24.81995260818146
3,1.0,29.996284384543937,24.65854570857482
4,1.0,30.743523264436984,24.449940594351276
5,1.0,29.868771259402163,24.87245988968759
6,1.0,30.832927841836245,24.80810936410778
7,1.0,30.24244322111567,24.78868793131453
8,1.0,30.859198054466333,24.70207958854084
9,1.0,30.56733453189446,24.782813427305467
10,1.0,30.98146020585987,24.948914182156777
11,0.6065761532401006,28.601842705566938,23.543059922292578
12,0.3679346296795588,24.115890400156605,19.557707807891035
13,0.22318037231484725,21.343419011568777,17.333669920089662
14,0.13537589171743386,21.16102701955104,17.64247105391331
15,0.08211578763940967,17.073119525189988,14.102556722224934
16,0.05,14.934393954679411,12.35761707630657
17,0.05,17.52049980011973,14.248350550436118
18,0.05,14.38129062967152,11.546680972728119
19,0.05,15.322771978214078,12.465258332047553
20,0.05,14.19294620768063,11.443547225933033
21,0.05,14.140118738287105,11.349850679567773
22,0.05,15.203889703557628,12.441057002301703
23,0.05,16.491689175008727,13.516230798037263
24,0.05,15.533522597264845,12.469406834135242
25,0.05,13.830949677280662,11.452083929110263
26,0.05,13.804431624246977,11.268990343600192
27,0.05,15.079473256490939,11.97660105185712
28,0.05,14.79540749585322,12.110860663167129
29,0.05,15.793400058746421,12.605770889291673
30,0.05,14.06271750688835,11.668613755017757
31,0.05,14.441909188270772,11.984931262000206
32,0.05,14.115210420949714,11.222512631812899
33,0.05,14.701599571663607,11.902423176169643
34,0.05,14.568871734380833,11.90011683989677
35,0.05,15.555128585038139,12.713276234984978
36,0.05,17.356740867746282,14.140024294551008
37,0.05,16.181566765222904,13.2952076521501
38,0.05,16.380357150015517,13.450029379332088
39,0.05,14.839475408909205,11.996053843668209
40,0.05,22.74321224409824,18.265605392892247
41,0.05,15.261263639844026,12.528660379617504
42,0.05,19.170268565894588,16.00176440581919
43,0.05,14.7880804454613,12.14408357751735
44,0.05,15.651607460878202,12.268236512091264
45,0.05,18.31242994225879,14.727098075757683
46,0.05,18.807460439859533,15.33952616414399
47,0.05,21.725401830180314,17.81441238054997
48,0.05,16.867014469124396,13.567254670300928
49,0.05,23.265230997385952,18.688692212643065
50,0.05,22.3858934444951,18.518175316599333
