run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.057095353341516,18.546770765748906
2,1.0,18.96880476804215,18.469737507556008
3,1.0,19.170017909816913,18.66160062745018
4,1.0,19.202700134689344,18.697867222992496
5,1.0,19.06787722132694,18.563325982050113
6,1.0,18.967832100604177,18.450978225182723
7,1.0,19.12938623526096,18.62565490681404
8,1.0,19.256555778723037,18.750980654814835
9,1.0,19.081312922019833,18.58177475166433
10,1.0,18.946423543362307,18.44389897505019
11,0.0,18.122444831394102,17.611838806560858
12,0.0,15.759102296327178,15.264930651776538
13,0.0,12.160836914730483,11.665518825546464
14,0.0,13.520193893431678,13.016581541641106
15,0.0,11.659904889424313,11.14527613021112
16,0.0,12.038888336981678,11.544137517309926
17,0.0,11.029573795314258,10.533359344580251
18,0.0,11.092103917028485,10.58906105235404
19,0.0,11.013379606060338,10.51714534141905
20,0.0,11.347774574949616,10.851771785829879
21,0.0,10.40953331947301,9.911443056834543
22,0.0,10.996773695662792,10.491357466177872
23,0.0,11.647497249543479,11.141966118587876
24,0.0,10.531717900669717,10.033590221410904
25,0.0,10.699886047207308,10.200376398710283
26,0.0,11.42569431958693,10.926187236582777
27,0.0,11.87025035011123,11.366144706543503
28,0.0,11.062727575260324,10.55866575260859
29,0.0,11.08415663352899,10.578820608627808
30,0.0,11.367258260084721,10.864658320974062
31,0.0,12.885596254981204,12.378708395385365
32,0.0,14.064093813675578,13.569008253358424
33,0.0,12.780980396844239,12.281237994716347
34,0.0,11.47489084813879,10.978398594594736
35,0.0,10.611152264620847,10.109171455263448
36,0.0,10.681789218594808,10.18415339562506
37,0.0,11.18511887382355,10.674330009689712
38,0.0,11.740054492820924,11.24006207347303
39,0.0,12.276178841463176,11.770310505427968
40,0.0,11.05839183519777,10.561563905509372
41,0.0,10.22586618056452,9.722956435082414
42,0.0,10.724813583766785,10.224800131206173
43,0.0,10.78738159648325,10.283392028619678
44,0.0,11.95685554911186,11.455873867017894
45,0.0,10.708193719416636,10.203058982453294
46,0.0,10.839630718370453,10.334902316265289
47,0.0,10.7303353899266,10.231657309931949
48,0.0,10.852556971394996,10.35864069461997
49,0.0,12.205323606883786,11.697996508581406
50,0.0,14.357692869234702,13.852652544124146
