run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,30.506210201205732,24.78164066193395
2,1.0,30.116947278107506,24.477821952979358
3,1.0,30.46237113693758,24.82106294021769
4,1.0,30.46495768639445,24.523151993410945
5,1.0,30.33035801476059,24.647855699221832
6,1.0,30.734658080882422,24.89032350720646
7,1.0,30.168818544721987,24.526583164097886
8,1.0,30.531622012777703,24.699585174624712
9,1.0,30.698777086027853,24.91023628457093
10,1.0,30.44691584324426,24.68991475419015
11,0.6065761532401006,27.97152858321022,23.201083707104385
12,0.3679346296795588,24.427395973065238,20.109560146251706
13,0.22318037231484725,22.47812626566258,18.516360275258766
14,0.13537589171743386,21.35860499183005,17.356423120024257
15,0.08211578763940967,20.642772592517687,16.926290812368908
16,0.05,19.768211846914514,16.326990371140162
17,0.05,20.110144013912247,16.377957913271402
18,0.05,19.156434208652172,15.82551254994877
19,0.05,19.895660196272676,16.333757016144958
20,0.05,19.585164705239514,15.839100875003162
21,0.05,18.921302158141255,15.62717314029907
22,0.05,19.220429206534973,16.04872216584137
23,0.05,20.39081385981455,15.960087241928802
24,0.05,19.064886324890335,15.63914974241929
25,0.05,19.13592545249585,15.879687326202612
26,0.05,18.753795665277913,15.805184665161487
27,0.05,20.091233974142973,16.291240758707694
28,0.05,20.466234330981454,16.763929804357534
29,0.05,19.83614025805768,16.28045569661401
30,0.05,17.28811466887012,14.603182679166068
31,0.05,18.222987244997373,14.954155715967365
32,0.05,20.00167464847824,16.327233102304366
33,0.05,19.3063888135792,15.82580450099569
34,0.05,18.714473729096493,15.282030464543642
35,0.05,19.673513729300826,15.856681159227344
36,0.05,19.191119524079802,15.558392590966482
37,0.05,19.414851880589723,15.959927451976554
38,0.05,21.467716773212036,17.336845973658793
39,0.05,18.993937165497872,15.977666265531452
40,0.05,18.782676919298662,15.523824597060868
41,0.05,19.782773284319376,16.358963600176512
42,0.05,19.45077329438555,15.853989360310019
43,0.05,25.805309770008183,20.701666555830812
44,0.05,22.61385157516571,19.064000049313385
45,0.05,22.970559456812207,18.783340595311735
46,0.05,22.623104947775612,19.04164039180933
47,0.05,26.137059799134605,21.53126186545469
48,0.05,23.321788684212414,18.9626166118582
49,0.05,20.799917321489083,17.282098925991548
50,0.05,19.52435119368083,16.315631258430226
